Term,Definition
MULTILATERAL DEVELOPMENT BANK,"A supranational organization that is constituted to provide financing and financial and economic advice, pri- marily to developing nations. Such institutions are generally funded through contributions from the governments of industrialized nations. See alsoAFRICAN DEVELOPMENT BANK, ASIAN DEVELOPMENT BANK, EUROPEAN BANK FOR RECONSTRUCTION AND DEVELOPMENT, INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT, INTER-AMERICAN DEVELOPMENT BANK."
EUROPEAN CURRENCY UNIT (ECU),"A unit of account, created by the EUROPEAN ECONOMIC COMMUNITY in 1979 as part of the European Monetary System, based on a weighted average of the CURRENCIES of the member countries. The ECU was superseded by the creation of the EUROPEAN MONETARY UNION and the introduction of the EURO in 1999."
RUNNING YIELD,See FLAT YIELD.
Yen ETF,"A yen ETF is an exchange traded fund (ETF) that tracks the relative value of Japan’s currency, the Japanese yen (JPY), in the foreign exchange (forex) market against a basket of other currencies or a single currency such as the U.S. dollar (USD). This is achieved by investing primarily in yen-backed assets, including short-term debt instruments and bonds, or simply holding the spot currency in interest-bearing accounts."
CLO,See COLLATERALIZED LOAN OBLIGATION.
Flexible exchange rate,A system in which supply and demand determine exchange rates.
Bonus,"A bonus is a financial compensation that is above and beyond the normal payment expectations of its recipient. Companies may award bonuses to both entry-level employees and to senior-level executives. While bonuses are traditionally given to exceptional workers, employers sometimes dole out bonuses company-wide to stave off jealousy among staffers."
Margin Debt,"Margin debt is debt a brokerage customer takes on by trading on margin. When purchasing securities through a broker, investors have the option of using a cash account and covering the entire cost of the investment themselves, or using a margin account—meaning they borrow part of the initial capital from their broker. The portion the investors borrow is known as margin debt, while the portion they fund themselves is the margin, or equity."
ADMITTED INSURER,"An INSURER that is authorized to write INSURANCE business in a particular state or jurisdiction; the contracts it offers are classified as ADMITTED INSURANCE. Also known as AUTHORIZED INSURER, LICENSED CARRIER. See also NON."
EURIBOR,See EURO INTERBANK OFFERED RATE.
STOCK OPTION,A CALL OPTION or a PUT OPTION with a company’s STOCK as the UNDERLYING reference. Also known as SHARE OPTION.
CURRENCY OVERLAY,"An INVESTMENT technique related to the active management of CURRENCY exposures inherent in a PORTFOLIO of multicur- rency ASSETS, where the currency RISKS of the portfolio are managed separ- ately from the remaining MARKET RISKS of the portfolio. The currency overlay is implemented by creating a currency neutral position for the INVESTOR, and then permitting tactical flexibility that allows the portfolio manager to devi- ate from the base position in order to generate currency-based ALPHA. The overlay may be based on CARRY, momentum, and/or quantitative approaches.See TRANSLATION RISK."
Systemic risk,"The RISK of damage being done to the health of the FINANCIAL SYSTEM as a whole. A constant concern of BANK regulators is that the collapse of a single bank could bring down the entire financial system. This is why regulators often organise a rescue when a bank gets into financial difficulties. However, the expectation of such a rescue may create a MORAL HAZARD, encouraging banks to behave in ways that increase systemic risk. Another concern of regulators is that the ­RISK MANAGEMENT methods used by banks are so similar that they may increase systemic risk by creating a tendency for crowd behaviour. In particular, problems in one market may cause banks in general to liquidate positions in other markets, causing a vicious cycle of LIQUIDITY being withdrawn from the financial system as everybody rushes for the emergency exit at once. (See CAPITAL ASSET PRICING MODEL.)"
leverage cycle,A lending boom and then a lending crash.
payout ratio,dividend as a proportion of earnings per share.
UNREALIZED LOSS,"Losses on an ASSET (resulting from a negative change in valuation) that have not yet been realized or “locked in” for ACCOUNTING purposes. An unrealized loss can only be realized through disposal. Also known as PAPER LOSS. See also REALIZED LOSS, UNREALIZED GAIN."
Marginal Cost of Production,"In economics, the marginal cost of production is the change in total production cost that comes from making or producing one additional unit. To calculate marginal cost, divide the change in production costs by the change in quantity. The purpose of analyzing marginal cost is to determine at what point an organization can achieve economies of scale to optimize production and overall operations. If the marginal cost of producing one additional unit is lower than the per-unit price, the producer has the potential to gain a profit."
Living Will,A living will—also known as an advance directive—is a legal document that specifies the type of medical care that an individual does or does not want in the event they are unable to communicate their wishes.
Finite Difference Method,A method for solving a differential equation.
Inheritance Tax,"An inheritance tax is a tax imposed by certain states on those who are bequeathed or receive assets from the estate of a deceased person. The tax rate depends on the state of residence, the value of the inheritance, and the beneficiary's relationship to the decedent."
unbundling,See bundling.
ASSET CARD,See DEBIT CARD.
PROCESS RISK,See OPERATIONAL RISK.
REINSURANCE SIDECAR,"A form of REINSURANCE developed in response to the need for additional UNDERWRITING CAPACITY in the face of specific catastrophes. The sidecar functions in a manner similar to traditional QUOTA SHARE, except that its CAPITAL is raised privately, it supports a single CEDANT, and has a finite life (generally less than 2 years)."
Multi-Asset Class,"A multi-asset class, also known as a multiple-asset class or multi-asset fund, is a combination of asset classes (such as cash, equity or bonds) used as an investment. A multi-asset class investment contains more than one asset class, thus creating a group or portfolio of assets. The weights and types of classes vary according to the individual investor."
Legend,Reference area on a map.
Federal Housing Administration (FHA),"The Federal Housing Administration (FHA) is a U.S. agency offering mortgage insurance to FHA-approved lenders that meet specific qualifications. Mortgage insurance protects lenders against losses from mortgage defaults. If a borrower defaults on a loan, the FHA pays the lender a specified claim amount."
illiquidity cost,Costs due to imperfect liquidity of some security.
Business Activities,"Business activities include any activity a business engages in for the primary purpose of making a profit. This is a general term that encompasses all the economic activities carried out by a company during the course of business. Business activities, including operating, investing and financing activities, are ongoing and focused on creating value for shareholders."
Non-Disclosure Agreement (NDA),A non-disclosure agreement is a legally binding contract that establishes a confidential relationship. The party or parties signing the agreement agree that sensitive information they may obtain will not be made available to any others. An NDA may also be referred to as a confidentiality agreement.
Aggregate Supply,"Aggregate supply, also known as total output, is the total supply of goods and services produced within an economy at a given overall price in a given period. It is represented by the aggregate supply curve, which describes the relationship between price levels and the quantity of output that firms are willing to provide. Typically, there is a positive relationship between aggregate supply and the price level."
INDIRECT STAKEHOLDERS,"In GOVERNANCE, the parties impacted by a company’s activities and actions in a less obvious, immediate, or direct manner than DIRECT STAKEHOLDERS; this group generally includes REGULATORS, taxpayers, and competitors."
Free Cash Flow (FCF),"Free cash flow (FCF) represents the cash a company generates after accounting for cash outflows to support operations and maintain its capital assets. Unlike earnings or net income, free cash flow is a measure of profitability that excludes the non-cash expenses of the income statement and includes spending on equipment and assets as well as changes in working capital from the balance sheet."
Market Segment,"A market segment is a group of people who share one or more common characteristics, lumped together for marketing purposes. Each market segment is unique, and marketers use various criteria to create a target market for their product or service. Marketing professionals approach each segment differently, after fully understanding the needs, lifestyles, demographics, and personality of the target consumer."
Point-of-sale (POS) terminal,An electronic device for the acceptance of payment cards; POS refers to the area or location where customers can pay for their purchases.
Loan Shark,"A loan shark is a person who – or an entity that – loans money at extremely high interest rates and often uses threats of violence to collect debts. The interest rates are generally well above an established legal rate, and often loan sharks are members of organized crime groups."
BREAK FORWARD,A FORWARD CONTRACT with a feature giving one party the ability to cancel the transaction at a future time in order to com- plete the underlying deal in the SPOT MARKET; if the party chooses to break the contract it pays the other party a cancellation fee. Also known as BOSTON OPTION.
Peter Principle,"The Peter Principle is an observation that the tendency in most organizational hierarchies, such as that of a corporation, is for every employee to rise in the hierarchy through promotion until they reach a level of respective incompetence. In other words, a front-office secretary who is quite good at her job may thus be promoted to executive assistant to the CEO for which she is not trained or prepared for—meaning that she would be more productive for the company (and likely herself) if she had not been promoted."
Superannuation,"A superannuation is an organizational pension program created by a company for the benefit of its employees. It is also referred to as a company pension plan. Funds deposited in a superannuation account will grow, typically without any tax implications, until retirement or withdrawal."
GLOBAL MEDIUM-TERM NOTE,"A MEDIUM-TERM NOTE (MTN) that is issued simultaneously in a domestic market and the EUROMARKETS, typically through a registered filing that allows for issuance at will. As with a standard MTN, a global issue can be denominated in one of several CURRENCIES and carry fixed or floating COUPONS with MATURITIES extending from 1 to 30 years."
Installment credit,"A loan given in a lump sum for a specific purchase or investment. The loan is paid back with regularly scheduled payments, which include interest. Examples include home loans, car loans, or business loans."
VIX Index,Index of the volatility of the S&P 500.
SURETY,(1) A GUARANTEE of CONTRACT fulfillment. (2) The party respon- sible for performing under a  BOND should the original contract party DEFAULT on its obligations.PERFORMANCE BOND.
REGISTERED OFFICE,The official address of a REGISTERED COMPANY.
ICE,See INTERCONTINENTAL EXCHANGE.
GROSS INTEREST,"INTEREST paid or received, excluding the impact ofTAXES."
Export Duties,Export Duties
MARKET OUT CLAUSE,See MATERIAL ADVERSE CHANGE CLAUSE.
Tail Loss,See Conditional Value at Risk.
Order,"An order consists of instructions to a broker or brokerage firm to purchase or sell a security on an investor's behalf. An order is the fundamental trading unit of a securities market. Orders are typically placed over the phone or online through a trading platform, although orders may increasingly be placed through automated trading systems and algorithms. Once an order is placed, it follows a process of order execution."
Gross Margin Return on Investment (GMROI),The gross margin return on investment (GMROI) is an inventory profitability evaluation ratio that analyzes a firm's ability to turn inventory into cash above the cost of the inventory. It is calculated by dividing the gross margin by the average inventory cost and is used often in the retail industry. GMROI is also known as the gross margin return on inventory investment (GMROII).
Mobile Banking,"Mobile banking is the act of making financial transactions on a mobile device (cell phone, tablet, etc.). This activity can be as simple as a bank sending fraud or usage activity to a client’s cell phone or as complex as a client paying bills or sending money abroad. Advantages to mobile banking include the ability to bank anywhere and at any time. Disadvantages include security concerns and a limited range of capabilities when compared to banking in person or on a computer."
Dutch Auction,"A Dutch auction is a market structure in which the price of something offered is determined after taking in all bids to arrive at the highest price at which the total offering can be sold. In this type of auction, investors place a bid for the amount they are willing to buy in terms of quantity and price."
"Value, paradox of",Refer to  paradox of value.
INVISIBLE ASSET,See INTANGIBLE ASSET.
RATIO ANALYSIS,"A financial analysis technique used by INVESTMENT ANALYSIS and CREDIT ANALYSTS that uses ACCOUNTING information from a company’s FINANCIAL STATEMENTS to compute relative and abso- lute strength/weakness in key areas such as profitability, activity, liquidity, LEVERAGE, and SOLVENCY."
BACK-TO-BACK SWAP,"A SWAP that acts as a mirror image of an existing swap on the books of an institution, serving to neutralize the MARKET RISKS. Such a swap does not, however, eliminate COUNTERPARTY CONTINGENT CREDIT RISK. See also UNWIND."
SEDOL,See STOCK EXCHANGE DAILY OFFICIAL LIST.
Regulated Investment Company (RIC) Pass Taxes on to Investors,"A regulated investment company (RIC) can be any one of several investment entities. For example, it may take the form of a mutual fund or exchange-traded fund (ETF), a real estate investment trust (REIT), or a unit investment trust (UIT). Whichever form the RIC assumes, the structure must be deemed eligible by the Internal Revenue Service (IRS) to pass through taxes for capital gains, dividends, or interest earned to the individual investors."
DUAL LISTED COMPANY ARBITRAGE,"An ARBITRAGE strategy that seeks to exploit discrepancies between the SHARE prices of the constituent compan- ies. An INVESTOR seeks to profit by purchasing the STOCK of the underval- ued company and arranging a SHORT SALE of the overvalued company, with an expectation that the two will converge to a theoretical PARITY value over time."
Quid Pro Quo,"Quid pro quo is Latin term for ""something for something"" that originated in the middle ages in Europe. It describes a situation when two parties engage in a mutual agreement to exchange goods or services reciprocally. In a quid pro quo agreement, one transfer is thus contingent upon some transfer from the other party."
Wall of Worry,"Wall of worry is the financial markets' periodic tendency to surmount a host of negative factors and keep ascending. Wall of worry is generally used in connection with the stock markets, referring to their resilience when running into a temporary stumbling block, rather than a permanent impediment to a market advance."
Securities and Exchange Commission (SEC),"The U.S. Securities and Exchange Commission (SEC) is an independent federal government regulatory agency responsible for protecting investors, maintaining fair and orderly functioning of the securities markets, and facilitating capital formation. It was created by Congress in 1934 as the first federal regulator of the securities markets. The SEC promotes full public disclosure, protects investors against fraudulent and manipulative practices in the market, and monitors corporate takeover actions in the United States. It also approves registration statements for bookrunners among underwriting firms.﻿﻿"
Networking,"Networking is the exchange of information and ideas among people with a common profession or special interest, usually in an informal social setting. Networking often begins with a single point of common ground."
rebalancing,Realigning the proportions of assets in a  portfolio as needed.
Overcollateralization (OC),Over-collateralization (OC) is the provision of collateral that is worth more than enough to cover potential losses in cases of default.
FOREIGN EXCHANGE (FX),"A transaction that involves the exchange of two CURRENCIES. TRADING in foreign exchange is extremely active, with institu- tions regularly using SPOT and DERIVATIVE contracts to HEDGE, ARBITRAGE, or SPECULATE. See also  RATE."
Net Investment Income (NII),"Net investment income (NII) is income received from investment assets (before taxes) such as bonds, stocks, mutual funds, loans, and other investments (less related expenses). The individual tax rate on net investment income depends on whether it is interest income, dividend income, or capital gains."
Labour Laws,Labour Laws
Five Cs of Credit,"The five Cs of credit is a system used by lenders to gauge the creditworthiness of potential borrowers. The system weighs five characteristics of the borrower and conditions of the loan, attempting to estimate the chance of default and, consequently, the risk of a financial loss for the lender."
After-Tax Contribution,"An after-tax contribution is money paid into a retirement or investment account after income taxes on those earnings have already been deducted. When opening a tax-advantaged retirement account, an individual may choose to defer the income taxes owed until after retiring, if it is a so-called traditional retirement account, or pay the income taxes in the year in which the payment is made, if it is a Roth retirement account."
market fundamentals,Items that have a direct effect on future income streams of the security.
early-stage investing,Investment by a venture capital firm in a company that is in the very beginning stage of its development.
Ethical Investing,"Ethical investing refers to the practice of using one's ethical principles as the primary filter for the selection of securities investing. Ethical investing depends on the investor's views. Ethical investing is sometimes used interchangeably with socially conscious investing; however, socially conscious funds typically have one overarching set of guidelines that are used to select the portfolio, whereas ethical investing brings about a more personalized result."
latency,"The time it takes to accept, process, and deliver a trading order."
Uninsurable Peril,"Uninsurable peril are events for which insurance coverage is not available or for which insurers are unlikely to underwrite policies. An uninsurable peril is typically an event that has a high risk of occurrence, meaning the probability of a payout is high and expected. Perils that insurers are unwilling to cover are often catastrophic in nature."
private equity,"equity that is not publicly traded and that is used to finance business start-ups, leveraged buyouts, etc."
perpetuity,investment offering a level stream of cash flows in  (cf. consol).
Systematic Risk,Risk that cannot be diversified away.
"Hong Kong SAR, China","Hong Kong is the premier financial and business center in China and a regional financial leader. Hong Kong is one of China's special administrative regions (SARs). An SAR is a relatively autonomous regions within the People's Republic of China that maintain separate legal, administrative, and judicial systems from the rest of the country."
Debt (elementary),The money a person owes when they borrow.
John F. Nash Jr.,"John F. Nash, Jr., was an American mathematician who won the 1994 Nobel Prize in Economics, along with John Harsanyi and Reinhard Selten, for his development of the mathematical foundations of game theory. Nash was also a pioneer in the study of differential geometry and partial differential equations. He also developed an equilibrium theory known as the Nash Equilibrium (of which the prisoner's dilemma is a well-known example)."
Ordinary Loss,An ordinary loss is loss realized by a taxpayer when expenses exceed revenues in normal business operations. Ordinary losses are those losses incurred by a taxpayer which are not capital losses. An ordinary loss is fully deductible to offset income thereby reducing the tax owed by a taxpayer.
Limit Down,The limit down price is the maximum allowable decline in the price of a stock or commodity in a single trading day. The limits were introduced to forestall unusual market volatility and counteract the panic selling that tends to compound an initial price decline.
RING TRADING,"A TRADING mechanism used on EXCHANGES that still feature physical, rather than electronic, trading, where BROKERS, DEALERS, and/or MARKET MAKERS assemble at appointed times in a “ring” to make a market in a particular ASSET. Also known as CALLOVER. See also OPEN OUTCRY."
LBO,See LEVERAGED BUY-OUT.
Veterans Group Life Insurance (VGLI),"Veterans group life insurance pays cash to the beneficiaries of a deceased member of the armed forces who had completed their service. Veterans Group Life Insurance (VGLI) is for service members who have completed their service and wish to continue to have life insurance coverage carried over from their Servicemembers' Group Life Insurance (SGLI) policy. They have one year and 120 days from the date they become veterans to exercise this option, and VGLI is a renewable term policy."
Trade Finance,Trade finance represents the financial instruments and products that are used by companies to facilitate international trade and commerce. Trade finance makes it possible and easier for importers and exporters to transact business through trade. Trade finance is an umbrella term meaning it covers many financial products that banks and companies utilize to make trade transactions feasible.
Short Run,"The short run is a concept that states that, within a certain period in the future, at least one input is fixed while others are variable. In economics, it expresses the idea that an economy behaves differently depending on the length of time it has to react to certain stimuli. The short run does not refer to a specific duration of time but rather is unique to the firm, industry or economic variable being studied."
CHECK,A form that authorizes a BANK or other FINANCIAL INSTITUTION to pay a specified sum to the named PAYEE from the DRAWER’s account. A check may carry an ENDORSEMENT which permits different degrees of trans- fer among third parties. Also known as CHEQUE.
EMBARGO,"Prohibition on TRADE with another country either generally (all goods and services) or specifically (targeted goods and services). An embargo, which is one manifestation of SOVEREIGN RISK, may arise as a result of trade disputes, political constraints, REGULATIONS, or national security issues."
Load Fund,"A load fund is a mutual fund that comes with a sales charge or commission. The fund investor pays the load, which goes to compensate a sales intermediary, such as a broker, financial planner or investment advisor, for his time and expertise in selecting an appropriate fund for the investor. The load is either paid up front at the time of purchase (front-end load), when the shares are sold (back-end load), or as long as the fund is held by the investor (level-load)."
Unappropriated Retained Earnings,"Unappropriated retained earnings consist of any portion of a company's retained earnings that are not classified as appropriated retained earnings. Appropriated retained earnings are set aside by the board and are assigned to a specific purpose, such as factory construction, hiring new labor, buying new equipment, or marketing. They will not be distributed to shareholders as dividend payments. Unappropriated retained earnings can be passed on to shareholders in the form of dividend payments."
INTEREST RATE POLICY,A policy used by certain CENTRAL BANKS or mon- etary authorities that attempts to influence MONEY SUPPLY within a national system by setting the level of INTEREST RATES. This approach implies that properly calibrating rates and the money supply will lead to the proper balance of economic output and INFLATION. See also INFLATION TARGET.
Certified Public Accountant (CPA),"A certified public accountant (CPA) is a designation given by the American Institute of Certified Public Accountants (AICPA) to individuals that pass the Uniform CPA Examination and meet the education and experience requirements. The CPA designation helps enforce professional standards in the accounting industry. Other countries have certifications equivalent to the CPA designation, notably, the chartered accountant (CA) designation."
European Banking Authority (EBA),"The European Banking Authority (EBA) is a regulatory body that strives to maintain financial stability throughout the European Union’s (EU) banking industry. It was established in 2010 by the European Parliament, replacing the Committee of European Banking Supervisors (CEBS)."
REVERSE MERGER,See REVERSE TAKEOVER.
ACCOUNTING VALUE,"An approach to FINANCIAL ANALYSIS that values a company’s COMMON STOCK as a function of EARNINGS PER SHARE and the PRICE/EARNINGS multiple. The higher either variable, the more valuable the stock, and thus the company. See also ENTERPRISE VALUE."
W-8 Form,"W-8 forms are Internal Revenue Service (IRS) forms that foreign individuals and businesses must file to verify their country of residence for tax purposes, certifying that they qualify for a lower rate of tax withholding. Although the W-8 forms are issued by the IRS, they are submitted only to payers or withholding agents, not to the IRS. Failure to submit the form may result in a withholding at the full 30% rate that applies to foreign entities."
Tenkan-Sen (Conversion Line),"Tenkan-Sen, or Conversion Line, is the mid-point of the highest and lowest prices of an asset over the last nine periods. The Tenkan-Sen is part of a larger indicator called the Ichimoku Kinko Hyo, which shows potential support and resistance areas based on different timeframes. Ichimoku Kinko Hyo roughly means ""one look equilibrium chart,"" and is commonly called the Ichimoku Cloud indicator."
Dividends Received Deduction (DRD),"The dividends received deduction (DRD) is a federal tax deduction in the United States that is given to certain corporations that get dividends from related entities. The amount of the dividend that a company can deduct from its income tax is tied to how much ownership the company has in the dividend-paying company. However, there are criteria that corporations must meet in order to qualify for the dividends received deduction (DRD)."
Golden Handcuffs,Golden handcuffs are a collection of financial incentives that are intended to encourage employees to remain with a company for a stipulated period of time. Golden handcuffs are offered by employers to existing key employees as a means of holding onto them as well as to increase employee retention rates. Golden handcuffs are common in industries where highly-compensated employees are likely to move from one company to another.
Due Diligence,"Due diligence is an investigation, audit, or review performed to confirm facts or details of a matter under consideration. In the financial world, due diligence requires an examination of financial records before entering into a proposed transaction with another party."
EEA,See EUROPEAN ECONOMIC AREA.
unit investment trust,Money invested in a portfolio whose composition is fixed for the life of the fund.
IRS Publication 15,"IRS Publication 15: Employer's Tax Guide is a document published by the Internal Revenue Service detailing an employer's responsibilities for filing and reporting tax information. The document covers the withholding, depositing, reporting, paying, and correcting of taxes for employees (although not for the corporation itself). IRS Publication 15 is also referred to as Circular E.﻿﻿"
TAX EVASION,"The process of seeking to minimize TAX paid to a govern- ment authority through illegal means, such as underreporting of INCOME or failing to disclose offshore ASSETS. See also TAX AVOIDANCE."
Dow Jones CDX,"The credit default swap index (CDX), formerly the Dow Jones CDX, is a benchmark financial instrument made up of credit default swaps (CDS) that have been issued by North American or emerging market companies. The CDX was the first CDS index, which was created in the early 2000s and was based on a basket of single issuer CDSs."
Société Anonyme (S.A.),"Société anonyme (S.A.) is a French term for a public limited company (PLC) and has many equivalents all over the world. A société anonyme is the equivalent of a corporation in the United States (publicly-traded company or incorporated), a public limited company in the United Kingdom, or an Aktiengesellschaft (AG) in Germany. A société anonyme is a type of business structure that establishes a company as a legal person that can own and transfer property, enter contracts, and be held liable for crimes. One of its key benefits is that it limits the owners’ personal liability for the company’s actions."
Adverse Selection,"Adverse selection refers generally to a situation in which sellers have information that buyers do not have, or vice versa, about some aspect of product quality. In other words, it is a case where asymmetric information is exploited. Asymmetric information, also called information failure, happens when one party to a transaction has greater material knowledge than the other party."
Phillips curve,"A graph, fi rst devised by A. W. Phillips, showing the tradeoff between unemployment  and infl ation. In modern main- stream macroeconomics, the  downward-sloping “tradeoff” Phil- lips curve is generally held to be  valid only in the short run; in the  long run, the Phillips curve is usu- ally thought to be vertical at the  nonaccelerating infl ation rate of unemployment (NAIRU)."
Net present value,"A measure used to help decide whether or not to proceed with an INVESTMENT. Net means that both the costs and benefits of the investment are in cluded. To calculate net present value (NPV), first add together all the expected benefits from the investment, now and in the future. Then add together all the expected costs. Then work out what these future benefits and costs are worth now by adjusting future cashflow using an appropriate DISCOUNT RATE. Then subtract the costs from the benefits. If the NPV is negative, then the investment cannot be justified by the EXPECTED RETURNS. If the NPV is positive, it can, although it pays to make comparisons with the NPVs of alternative investment opportunities before going ahead."
Financial system,"The markets,  rms, and other institutions which carr nancial decisions of households, businesses, govern-ments, and the rest of the world.  nancial system include the money mar- xed-interest assets like bonds or mortgages, stock markets for the ownership of  rms, and foreign exchange mar-kets which trade the monies of dif-ferent countries.     "
EMISSIONS TRADING,"The TRADING of emissions allowances between com- panies, or ASSIGNED AMOUNT UNITS across borders, for those participating in a CAP AND TRADE mechanism."
Time deposit,"Funds, held in a bank, that have a minimum “time of with-drawal”; included in broad money but not in  M  1  because they are not accepted as a means of payment. Similar to  savings deposits.      "
Trading Platform,"A trading platform is software used for trading: opening, closing, and managing market positions through a financial intermediary such as an online broker. Online trading platforms are frequently offered by brokers either for free or at a discount rate in exchange for maintaining a funded account and/or making a specified number of trades per month. The best trading platforms offer a mix of robust features and low fees."
Command economy,"A mode of eco-nomic organization in which the key economic functions— what, how,  and  for whom  — are principally determined by government direc-tive. Sometimes called a  centrally planned economy.      Commodity money.    "
RHO,"A measure of the change in the value of an OPTION for a change in the RISK-FREE RATE, with all other variables held constant. The rhos of the CALL OPTION and PUT OPTION under the BLACK-SCHOLES MODEL are given by:)= tXe−rf t N( −d)where+−σ22σ tS is the stock price, X is the STRIKE PRICE, t is the time to MATURITY, rf is the risk-free rate, σ2 is the VARIANCE, and where the N value of N(d2) can be obtained from a standard table of PROBABILITY functions.The rhos of LONG and SHORT puts and calls are shown as:See also DELTA, GAMMA, GREEKS, VEGA, THETA."
DISPOSAL VALUE,See RESIDUAL VALUE.
Variance Reduction Procedures,Procedures for reducing the error in a Monte Carlo simulation.
Relative Vigor Index (RVI),The Relative Vigor Index (RVI) is a momentum indicator used in technical analysis that measures the strength of a trend by comparing a security's closing price to its trading range while smoothing the results using a simple moving average (SMA).
DOUBLE TOP,A TECHNICAL ANALYSIS charting formation that depicts two RESISTANCE LEVELS followed by a BREAKOUT. The multiple declines suggest resistance on the upside and possible weakness on the downside. Also known as a REVERSE W FORMATION. See also DOUBLE BOTTOM.
National Commodities And Derivatives Exchange (NCDEX),"The National Commodity & Derivatives Exchange (NCDEX) is a commodities exchange dealing primarily in agricultural commodities in India. The National Commodity & Derivatives Exchange was established in 2003, and its headquarters are in Mumbai. Many of India's leading financial institutions have a stake in the NCDEX. As of September 2019, significant shareholders included Life Insurance Corporation of India (LIC), the National Stock Exchange of India Limited (NSE), and the National Bank for Agricultural and Rural Development (NABARD)."
REPLICATION,"The process of duplicating an INDEX, HEDGE, or INVEST- MENT strategy through physical ASSETS or DERIVATIVE CONTRACTS."
implied volatility,The standard deviation of stock returns that is consistent with an option™s market value.
LIQUID,"(1) At a corporate level, the state of possessing sufficient cash to meet obligations. (2) At a market level, the state of having sufficient trans- action volume to permit TRADING. See also IL,  ASSETS, ITY."
Levered Free Cash Flow (LFCF),"Levered free cash flow (LFCF) is the amount of money a company has left remaining after paying all of its financial obligations. LFCF is the amount of cash a company has after paying debts, while unlevered free cash flow (UFCF) is cash before debt payments are made. Levered free cash flow is important because it is the amount of cash that a company can use to pay dividends and make investments in the business."
Financial Statement Analysis,Financial statement analysis is the process of analyzing a company's financial statements for decision-making purposes. External stakeholders use it to understand the overall health of an organization as well as to evaluate financial performance and business value. Internal constituents use it as a monitoring tool for managing the finances.
Authorized Stock,"Authorized stock, or authorized shares, refers to the maximum number of shares that a corporation is legally permitted to issue, as specified in its articles of incorporation in the U.S., or in the company's charter in other parts of the world. It is also usually listed in the capital accounts section of the balance sheet. Authorized shares should not be confused with outstanding shares, which are the number of shares the corporation has actually issued that are held by the public."
Wants,Desires that can be satisfied by consuming goods and services.
INDEX-LINKED ANNUITY,An ANNUITY with payments to the BENEFICIARY that are linked to a specified INDEX.
W-2 Form,"Form W-2, also known as the Wage and Tax Statement, is the document an employer is required to send to each employee and the Internal Revenue Service (IRS) at the end of the year. A W-2 reports employees' annual wages and the amount of taxes withheld from their paychecks. A W-2 employee is someone whose employer deducts taxes from their paychecks and submits this information to the government."
AG,See AKTIENGESELLSCHAFT.
BEARER SECURITY,"A SECURITY that can be transferred or redeemed by the holder, who may or may not be the BENEFICIAL OWNER, and for which no proof of ownership is required. Many securities are issued in bearer form, which eliminates the time and expense associated with re-registration. See alsoREGISTERED SECURITY."
Appropriation,"Appropriation is when money is set aside money for a specific and particular purpose or purposes. A company or a government appropriates funds in order to delegate cash for the necessities of its business operations. Appropriations for the U.S. federal government are decided by Congress through various committees. A company might appropriate money for short-term or long-term needs that include employee salaries, research and development, and dividends."
R-SQUARED,See COEFFICIENT OF DETERMINATION.
DEFINED CONTRIBUTION PLAN,"A form of PENSION plan where the employer and employee make joint contributions to the plan; the total, plus accrued INVESTMENT income, forms the employee’s financial benefit on retirement. In the United States this is done via 401(K) and 403(b) accounts. See also DEFINED BENEFIT PLAN."
Lawful Money,"Lawful money is any form of currency issued by the United States Treasury and not the Federal Reserve System. It includes gold and silver coins, Treasury notes, and Treasury bonds. Lawful money stands in contrast to fiat money, in which the government assigns value although it has no intrinsic value of its own and is not backed by reserves. Fiat money includes legal tender such as paper money, checks, drafts, and banknotes."
EVA,See ECONOMIC VALUE ADDED.
RESET OPTION,See PARTIAL LOOKBACK OPTION.
law of one price,"The principle that if two or more countries produce an identical good, the price of this good should be the same no matter which country produces it."
Unofficial Strike,An unofficial strike is a work stoppage by union members that is not endorsed by the union and that does not follow the legal requirements for striking. Workers engaging in unofficial strikes have little legal recourse if they are fired and do not receive strike pay. An unofficial strike is also called a wildcat strike or an unofficial industrial action.
SONIA,See STERLING OVERNIGHT INDEX AVERAGE.
Fourth World,"The Fourth World is an outdated term used to describe the most underdeveloped, poverty-stricken, and marginalized regions of the world."
PRIME BROKER,"A BANK, INVESTMENT BANK, or SECURITIES DEALER that provides HEDGE FUNDS and other institutional INVESTORS with a full range of AGE services."
Invisibles,Invisibles
Expanded Accounting Equation,The expanded accounting equation is derived from the common accounting equation and illustrates in greater detail the different components of stockholders' equity in a company.
floating-rate bond,A bond whose interest rate is reset  periodically according to a specified market rate.
Exclusion principle,"A criterion by which public goods are distin-guished from private goods. When a producer sells a commodity to person A and can easily exclude B, C, D, etc., from enjoying the ben- ts of the commodity, the exclu-sion principle holds and the good is a private good. If, as in public health or national defense, people cannot easily be excluded from  ts of the good’s production, then the good has public-good characteristics.     Exogenous vs. induced variables.    Exogenous variables are those determined by conditions outside the economy. They are contrasted with  induced variables,  which are determined by the internal work-ings of the economic system. Changes in the weather are exog-enous; changes in consumption are often induced by changes in income.     "
TAX BURDEN,"The amount of TAX that an individual or organization pays after taking advantage of all relevant deductibility, CREDIT, and avoidance measures. See also TAX INCIDENCE."
